Bakel	Boulel	Coki	Dagana	Dahra	Dakar	Diourbel	Fatick	Foundiougne	Gossas	Goudiry	Kaffirine	Kaolak	Kebemer	Kedougou	Kidira
1636,83	1426,27	1406,41	1178,10	1315,74	1707,51	1571,46	1614,37	1770,21	1247,84	1449,83	1825,25	1220,02	1252,32	1630,07	1632,47
1280,36	621,73	809,64	752,41	678,97	661,14	772,42	628,87	983,61	853,15	959,57	1005,03	792,97	821,77	639,94	638,89
1230,23	1502,02	892,06	1276,88	1082,66	1087,65	1108,55	1080,75	1346,01	1073,91	1505,36	1483,53	1147,86	1044,94	1073,94	1063,58
2035,67	1806,66	1305,09	1799,37	1180,85	2816,83	1978,18	2283,98	1885,52	1610,83	2013,73	2238,84	1595,28	1458,12	2341,63	2234,50
1947,49	1437,72	1253,15	1104,17	1203,09	1312,66	1197,42	1206,59	1847,96	1211,80	1585,06	1922,69	1136,00	1183,33	1209,40	1180,80
1858,42	2222,43	1266,92	1297,68	1228,25	1577,27	1330,16	1400,20	2179,85	1246,12	1905,88	2112,86	1232,77	1243,79	1421,78	1380,72
1930,65	2305,03	1477,56	1625,56	1555,15	1597,00	1682,84	1626,62	2211,27	1522,41	2080,18	2196,90	1728,17	1640,87	1607,66	1592,97
1424,44	1842,60	1139,84	1000,75	924,17	967,88	1084,79	1130,87	1771,27	1077,55	1667,24	1842,50	1170,11	1120,57	1156,67	1162,81
893,94	1174,22	821,85	968,01	1028,98	1216,98	1040,24	1064,17	1149,35	961,07	1184,56	1365,82	981,44	889,80	1083,18	1038,58
1305,50	1271,46	1084,70	916,22	1341,88	1648,20	1454,75	1589,33	1593,22	1053,30	1214,61	1673,50	1123,09	1125,54	1624,42	1560,91
1684,07	1650,73	1238,55	1406,21	1342,92	898,32	1234,22	1206,20	1962,09	1272,18	1576,44	1895,77	1314,14	1303,09	1234,14	1182,82
1995,77	1288,29	886,03	791,90	1035,25	725,29	982,49	933,37	1615,12	821,51	1388,35	1468,71	946,68	921,15	953,50	910,90
3277,61	1420,28	1505,25	1626,81	2112,16	2530,34	2066,23	2237,96	2475,51	1723,36	1918,75	2334,27	1927,47	1783,72	2255,80	2192,56
1306,00	1914,56	838,70	1317,92	1635,61	1364,73	1405,98	1511,28	1611,67	1162,11	1638,72	1618,99	1438,68	1287,37	1542,75	1492,68
2951,00	2087,36	2075,00	1219,20	2091,57	3259,39	2488,74	2534,08	2707,49	1830,54	2434,17	2940,73	1783,68	1995,19	2582,37	2491,69
1684,88	1377,89	2023,21	1260,19	1429,66	2005,76	1679,34	1676,75	1880,26	1638,17	1719,82	2057,38	1344,00	1524,17	1691,24	1654,40
1168,56	842,74	682,40	816,36	714,68	807,84	801,15	801,81	1141,73	836,56	888,35	1217,57	853,94	803,79	802,98	881,44
1968,40	995,27	749,32	1062,43	845,10	712,33	859,20	883,94	1731,57	872,48	1113,92	1574,08	955,65	878,02	863,05	871,70
1348,75	978,02	859,23	912,19	1105,55	1172,28	1148,57	1184,63	1248,08	856,15	1115,61	1389,99	1141,79	1075,20	1210,91	1173,93
1629,60	1750,74	716,37	1230,41	958,98	1418,38	1176,13	1232,62	1730,22	969,51	1489,74	1698,29	1150,02	1010,54	1243,36	1204,26
2132,93	1862,63	1379,85	2163,87	1707,74	1234,36	1741,28	1691,34	2297,35	1785,16	1832,07	1981,73	1922,48	1760,13	1527,73	1685,57
3266,23	3064,02	2821,44	1728,96	2098,29	2561,74	2160,36	2428,51	3424,37	2311,68	2812,24	3410,38	1888,28	2262,04	2438,77	2376,79
1727,95	706,68	1005,99	755,84	667,06	906,58	865,13	858,37	1452,45	949,15	973,14	1283,42	750,53	720,89	777,18	838,15
841,10	898,57	736,89	881,96	881,72	832,76	895,36	905,51	848,81	786,36	1036,69	1006,94	968,70	898,38	925,49	898,81
1359,63	1701,37	1514,24	1602,20	1795,56	1993,60	1710,27	1852,91	1508,30	1546,07	1928,54	1994,38	1635,32	1595,35	1797,11	1808,37
1976,69	2184,76	2058,86	1035,54	942,30	1195,84	1034,57	1045,43	2503,95	1600,65	1828,92	2107,71	943,92	1253,58	1071,59	1034,53
2330,30	1307,14	1265,89	1634,43	1327,72	1897,79	1517,97	1480,15	2009,18	1400,04	1509,98	2041,13	1489,80	1388,52	1503,76	1615,91
2195,64	2570,26	3702,01	1736,41	1980,91	1680,34	1767,93	1729,80	2353,53	2773,17	2872,02	2608,28	1772,75	2538,32	1757,60	1698,42
2380,04	3070,29	2268,30	2258,54	2824,81	3150,16	2793,36	2761,72	2815,52	2321,88	3080,22	3219,48	2511,93	2531,61	2830,29	2735,19
